time(s) ang_vel_x ang_vel_y ang_vel_z lin_acc_x lin_acc_y lin_acc_z orientation_x orientation_y orientation_z sensor_range
3.266667 -0.048933 0.000000 0.559300 -0.710214 -9.188761 9.775300 0.006087 0.000000 -0.069575 1.425886
3.300000 -0.048933 0.000000 0.559300 -0.710214 -9.188761 9.775300 0.006087 0.000000 -0.069575 1.428946
3.333333 -0.167860 0.000000 1.918640 1.276248 -10.931142 9.949095 0.000775 0.000000 -0.008860 1.439299
3.366667 -0.167860 0.000000 1.918640 1.276248 -10.931142 9.949095 0.000775 0.000000 -0.008860 1.449713
3.400000 -0.167860 0.000000 1.918640 1.276248 -10.931142 9.949095 0.000775 0.000000 -0.008860 1.449713
3.433333 -0.276572 0.000000 3.161207 5.312191 -8.084518 10.302196 -0.010465 0.000000 0.119619 1.985524
3.466667 -0.276572 0.000000 3.161207 5.312191 -8.084518 10.302196 -0.010465 0.000000 0.119619 1.993626
3.500000 -0.276572 0.000000 3.161207 5.312191 -8.084518 10.302196 -0.010465 0.000000 0.119619 1.991448
3.533333 -0.321569 0.000000 3.675531 7.829548 -1.974192 10.522437 -0.025389 0.000000 0.290192 1.990653
3.566667 -0.321569 0.000000 3.675531 7.829548 -1.974192 10.522437 -0.025389 0.000000 0.290192 1.994624
3.600000 -0.321569 0.000000 3.675531 7.829548 -1.974192 10.522437 -0.025389 0.000000 0.290192 1.997794
3.633333 -0.278850 -0.000000 3.187245 6.620481 4.901017 10.416657 -0.039715 0.000000 0.453937 1.995815
3.666667 -0.278850 -0.000000 3.187245 6.620481 4.901017 10.416657 -0.039715 0.000000 0.453937 1.992619
